n_rules	precision	recall	accuracy	balanced_accuracy
1	0.90625	0.07962657880285558	0.7307467756488509	0.5381314236516894
2	0.9036777583187391	0.09445359692476661	0.7345151531235072	0.5451711847682587
3	0.9021406727828746	0.10799926780157422	0.7379650761636856	0.5516076470567147
4	0.9020408163265307	0.1213618890719385	0.7414149992038639	0.5579899593363878
5	0.9051186017478152	0.13271096467142596	0.7444933920704846	0.5635149979583771
6	0.9021864211737629	0.14351089145158338	0.7471471790244679	0.5685785881985082
7	0.9049676025917927	0.15339557019952407	0.7498540417175309	0.5734088031891625
8	0.9043743641912513	0.16273110012813471	0.7522424499761159	0.5778523193868361
9	0.8969465648854962	0.17206663005674538	0.7542062523220636	0.5819968372290005
10	0.8963636363636364	0.1804869119531393	0.7563292818852503	0.5859827294105657
11	0.8959790209790209	0.1876258466044298	0.758133857013959	0.5893653227640179
12	0.8968723584108199	0.19421563243639026	0.7598853564035879	0.5925480912966822
13	0.8960720130932897	0.20043931905546403	0.7614245528368982	0.5954730606340259
14	0.8966613672496025	0.20647995606809447	0.7630168250092882	0.5983812547570253
15	0.8984496124031007	0.2121544938678382	0.7646090971816782	0.6011811488624584
16	0.898036253776435	0.21764598206113858	0.7659890663977496	0.6037773937813542
17	0.9001479289940828	0.22277137104155226	0.7674751870919803	0.606340088271561
18	0.9020319303338171	0.22753066080907927	0.7688551563080516	0.6087197331553246
19	0.9019189765458422	0.23228995057660626	0.7700758983068839	0.6109872536557721
20	0.9023028611304955	0.23668314113124655	0.7712435645666366	0.613109099344215
21	0.9038461538461539	0.24089328207944352	0.7724643065654689	0.6152141698183134
22	0.9035087719298246	0.2451034230276405	0.7735258213470623	0.617207115909096
23	0.9043189368770764	0.2491305143693941	0.7746404118677352	0.6191832867855342
24	0.903921568627451	0.2531576057111477	0.7756488509102489	0.6210847080730951
25	0.9034749034749034	0.257001647446458	0.776604214213683	0.6228946045574344
26	0.9040660736975857	0.26047958996888154	0.7775595775171169	0.6245962010242075
27	0.904642409033877	0.26395753249130516	0.778514940820551	0.6262977974909807
28	0.9057071960297767	0.2672524254072854	0.7794703041239849	0.6279452439489709
29	0.9067484662576687	0.2705473183232656	0.7804256674274189	0.629592690406961
30	0.9072164948453608	0.27384221123924585	0.7813279549917732	0.6312027620705124
31	0.9065868263473054	0.2771371041552261	0.7821240910779682	0.6327380841451866
32	0.9064535227945529	0.280248947464763	0.7829202271641632	0.6342192562110779
33	0.9063231850117096	0.2833607907742998	0.7837163632503583	0.635700428276969
34	0.9061957151129125	0.2864726340838367	0.7845124993365533	0.6371816003428602
35	0.9070567986230637	0.28940142778693023	0.785361711161828	0.638645997194407
36	0.9064095292115711	0.29251327109646713	0.7861047715089433	0.6400897944658596
37	0.9067415730337078	0.2954420647995607	0.7869009075951383	0.6415168165229677
38	0.9070673344462994	0.2983708585026542	0.7876970436813333	0.6429438385800759
39	0.9068870523415978	0.3012996522057478	0.7884401040284486	0.6443334858427453
40	0.9076502732240437	0.30404539630239796	0.7892362401146436	0.6457063578910704
41	0.9069767441860465	0.3069741900054915	0.7899262247226793	0.6470586303593012
42	0.9072386058981233	0.30971993410214166	0.7906692850697946	0.6483941276131877
43	0.9074960127591707	0.3124656781987919	0.79141234541691	0.6497296248670743
44	0.9063650710152551	0.3153944719018854	0.7920492542858659	0.6510445225408665
45	0.9061522419186653	0.3181402159985356	0.7927392388939016	0.6523426450003142
46	0.9045899948427024	0.32106900970162916	0.7933230720237779	0.6536201678796679
47	0.9048106448311156	0.323631704191836	0.7940130566318137	0.6548641403303327
48	0.9050279329608939	0.3261943986820428	0.7947030412398493	0.6561081127809976
49	0.9047858942065491	0.32875709317224966	0.7953399501088053	0.6573147104372237
50	0.9045477261369316	0.3313197876624565	0.7959768589777613	0.6585213080934498
51	0.9043133366385722	0.33388248215266336	0.7966137678467172	0.659727905749676
52	0.9040826364977865	0.3364451766428702	0.7972506767156733	0.6609345034059022
53	0.9038555392874573	0.33900787113307707	0.7978875855846292	0.6621411010621283
54	0.9031945788964182	0.3415705656232839	0.7984714187145056	0.6633103239239159
55	0.9033653846153846	0.3439502105070474	0.7991083275834616	0.6644627715713589
56	0.9022878932316492	0.34651290499725423	0.7996390849742583	0.6655946196387078
57	0.9016083254493851	0.34889254988101776	0.800169842365055	0.6666723176972738
